"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151"
0.002,-0.123,-0.135,-0.071,0.014,-0.013,-0.12,0.06,-0.071,-0.016,-0.425,0.121,0.005,0.026,0.008,0.002,0.151,0.042,0.698,0.234,0.554,0.899,1.348,1.748,2.327,2.922,3.475,4.027,4.54,5.028,5.526,6.011,6.405,6.749,6.759,7.274,7.402,7.491,7.583,7.518,7.363,7.052,6.942,6.862,6.762,6.432,6.188,6.167,5.712,5.394,5.01,4.912,4.839,4.555,4.284,3.978,3.789,3.511,3.334,3.038,2.828,2.593,2.282,2.288,2.025,1.824,1.653,1.577,1.354,1.302,1.101,1.021,1.241,0.682,0.716,0.344,0.707,0.554,0.908,0.524,0.463,-0.181,0.362,0.264,0.24,0.213,0.182,0.209,0.206,0.335,0.185,0.115,0.032,0.011,0.094,0.087,0.115,0.576,-0.004,0.054,0.042,0.078,0.023,0.185,0.06,0.011,-0.328,0.109,0.142,0.487,0.042,0.054,0.054,-0.169,0.066,-0.129,0.045,0.066,0.039,0.127,0.078,-0.032,0.023,0.069,-0.019,0.087,-0.004,0.063,0.139,0.017,0.017,-0.004,0.036,0.06,0.063,-0.007,-0.007,0.295,-0.019,-0.007,-0.416,-0.08,-0.062,0.362,0.014,0.069,-0.154,-0.041,0.017,-0.181,-0.047
-0.032,0.042,-0.056,-0.038,-0.059,0.02,0.02,0.213,0.048,-0.019,-0.294,-0.135,-0.004,0.203,0.087,0.045,0.176,0.097,0.228,0.765,0.502,0.789,0.997,1.403,1.836,2.486,3.02,3.392,4.436,5.12,5.693,6.24,7.067,7.427,7.857,7.787,8.522,8.736,9.288,8.959,8.989,8.77,8.672,8.565,8.37,8.199,7.961,7.744,7.372,7.082,7.393,6.441,6.215,5.864,5.66,5.309,5.129,4.741,4.107,4.155,3.832,3.667,3.331,3.057,2.871,2.544,2.492,2.132,1.97,1.513,1.549,1.381,1.555,1.006,1,0.64,0.771,0.689,0.615,0.56,0.502,0.963,0.307,0.17,0.2,0.109,0.029,-0.035,0.002,-0.145,-0.013,-0.138,-0.126,-0.151,-0.141,-0.074,-0.105,0.042,-0.209,-0.181,-0.532,-0.129,-0.062,0.219,-0.34,0.008,-0.16,-0.05,-0.09,-0.248,-0.12,-0.154,0.078,-0.096,-0.044,-0.029,0.026,0.014,-0.123,-0.138,-0.044,-0.007,0.008,-0.09,0.02,-0.056,-0.022,0.017,-0.083,0.032,-0.065,0.103,-0.047,0.045,-0.148,-0.096,0.139,0.286,-0.01,-0.019,-0.224,0.002,-0.068,-0.117,-0.087,-0.056,-0.05,-0.056,-0.016,0.011,-0.087
-0.111,-0.282,0.023,0.005,-0.047,-0.068,-0.019,-0.032,-0.16,0.46,-0.05,-0.032,-0.114,-0.407,-0.056,-0.016,0.206,-0.169,0.112,0.209,0.444,0.792,1.04,1.561,2.019,2.578,3.179,3.786,4.461,4.967,5.59,6.069,6.64,7.058,7.265,7.518,7.83,8.068,8.129,8.107,8.049,7.912,7.882,7.72,7.445,7.454,7.073,7.25,6.405,6.374,6.099,5.669,5.361,4.87,4.552,4.293,4.259,3.795,3.426,3.209,2.904,2.559,2.303,2.074,2.263,1.732,1.616,1.473,1.381,1.174,0.96,0.948,0.417,0.655,0.6,0.728,0.457,0.35,-0.224,0.234,0.133,0.509,0.014,0.075,-0.135,-0.047,-0.022,-0.029,-0.013,-0.12,-0.026,-0.032,-0.126,-0.068,-0.19,-0.138,-0.193,-0.065,-0.044,-0.105,-0.09,-0.138,-0.093,-0.312,-0.074,-0.087,-0.022,-0.053,-0.169,-0.477,-0.05,0.206,0.261,-0.132,-0.09,-0.16,-0.099,-0.038,-0.26,0.197,-0.145,-0.093,-0.157,-0.071,-0.053,-0.087,-0.102,-0.456,-0.12,-0.135,-0.068,-0.102,-0.053,-0.032,-0.111,-0.068,-0.062,-0.102,-0.108,-0.083,0.136,-0.093,-0.105,-0.132,-0.077,-0.056,0.335,-0.059,-0.111,-0.318,-0.123
-0.087,-0.41,-0.026,-0.007,0.39,-0.047,0.011,-0.141,-0.083,-0.08,-0.279,-0.151,-0.041,0.005,0.005,-0.083,-0.022,0.002,0.057,0.188,0.295,0.499,1.024,1.482,1.992,2.584,3.481,4.128,4.894,5.834,6.136,6.676,7.259,7.711,8.153,8.44,8.596,8.754,9.057,8.852,8.767,8.486,8.535,8.315,7.729,7.845,7.689,7.781,7.039,6.743,6.359,6.191,6.008,5.324,5.254,4.958,4.677,4.281,4.036,3.85,3.496,3.136,2.95,2.611,2.349,2.12,1.961,1.607,1.574,1.36,1.162,0.939,0.859,0.759,0.731,0.646,0.356,0.426,0.338,0.219,0.188,0.097,0.127,0.039,0.023,-0.148,-0.062,-0.584,-0.178,-0.126,0.023,-0.087,-0.19,-0.196,-0.187,-0.239,-0.505,-0.19,-0.367,-0.074,-0.196,-0.233,-0.087,-0.099,-0.206,-0.077,-0.096,-0.087,-0.203,-0.184,-0.004,-0.151,-0.071,-0.05,0.026,-0.135,-0.129,-0.126,-0.102,-0.032,-0.102,-0.26,-0.145,-0.23,-0.032,-0.062,-0.077,-0.404,-0.196,-0.117,0.368,-0.016,-0.114,-0.163,-0.022,-0.132,0.234,-0.126,-0.053,0.06,-0.056,-0.102,-0.12,-0.062,-0.059,-0.059,-0.022,-0.096,-0.233,-0.111,-0.05
0.087,0.002,0.02,-0.111,0.075,-0.059,-0.026,-0.041,0.069,-0.004,-0.059,0.042,0.075,0.347,-0.242,0.057,-0.407,0.118,0.292,0.689,0.444,0.646,0.628,1.448,1.909,2.517,3.02,3.695,4.522,5.205,6.371,6.582,7.219,7.775,8.254,8.864,9.282,9.569,10.28,9.926,10.079,10.125,10.17,10.143,10.231,9.874,9.475,8.843,9.267,8.989,9.215,8.376,7.991,7.293,6.759,6.713,6.395,5.962,5.587,5.242,4.851,4.509,3.969,3.948,3.679,3.383,3.261,2.99,2.758,2.572,2.327,2.114,1.891,1.699,1.516,1.488,1.259,1.146,0.591,0.792,0.753,0.942,0.524,0.42,0.328,0.307,0.277,0.023,0.151,0.072,0.051,-0.007,-0.05,0.036,-0.007,-0.056,-0.114,-0.141,-0.132,-0.132,-0.105,-0.093,-0.105,-0.087,-0.108,-0.071,-0.129,-0.126,-0.026,0.072,-0.117,-0.05,-0.16,-0.126,-0.004,0.243,-0.016,-0.108,-0.441,-0.019,-0.047,0.039,-0.123,-0.096,-0.007,-0.102,-0.206,-0.05,-0.099,-0.099,-0.187,-0.065,-0.074,-0.08,-0.145,-0.041,-0.08,-0.141,-0.138,-0.044,0.151,-0.154,-0.169,-0.453,-0.053,-0.035,0.203,-0.05,-0.12,-0.044,-0.145
-0.019,-0.535,-0.05,0.002,0.451,0.036,-0.071,-0.285,-0.007,-0.016,0.1,-0.029,0.045,0.02,-0.053,0.042,-0.038,0.002,0.249,0.246,0.448,0.722,1.134,1.534,2.004,2.59,3.417,3.896,4.57,4.619,5.962,6.572,7.387,7.677,8.172,8.416,8.968,8.965,9.612,9.557,9.49,9.526,9.334,9.31,9.133,8.684,8.739,8.4,8.031,7.732,7.406,7.1,6.719,6.09,5.361,5.428,5.01,5.129,4.308,4.049,3.417,3.466,3.194,3.106,2.81,2.556,2.349,2.15,2.022,1.955,1.772,1.445,1.412,1.278,1.043,1.003,0.78,1.265,0.664,0.689,0.505,0.386,0.716,0.383,0.31,0.628,0.182,0.145,0.246,0.097,0.197,0.057,0.087,0.493,-0.09,0.023,0.002,0.087,-0.004,-0.044,-0.053,0.286,-0.068,-0.01,0.234,-0.026,-0.126,-0.328,-0.022,0.179,0.036,-0.093,-0.105,-0.242,-0.071,-0.056,0.017,-0.102,-0.074,-0.074,-0.172,-0.132,-0.154,-0.062,-0.096,-0.337,-0.129,-0.126,-0.032,-0.035,-0.059,-0.102,-0.502,-0.434,-0.044,0.402,-0.053,-0.035,-0.358,-0.111,-0.123,-0.331,-0.047,-0.145,-0.05,-0.08,-0.135,-0.27,-0.105,-0.361,-0.059
-0.141,0.081,0.463,-0.187,-0.221,-0.218,-0.044,-0.007,-0.059,-0.154,-0.212,-0.145,-0.132,-0.019,0.005,-0.099,-0.01,0.002,0.197,0.502,0.689,1.058,1.574,2.044,2.52,3.649,3.878,4.339,4.787,4.903,5.623,6.014,6.286,6.56,6.685,6.871,6.978,6.939,7.055,6.911,6.749,6.691,6.591,6.405,6.35,6.066,5.928,5.623,5.578,5.123,4.833,4.812,4.357,4.104,3.899,3.493,3.273,2.916,2.752,2.559,2.349,2.102,1.86,1.537,1.488,1.314,1.067,0.963,0.817,0.692,0.597,0.509,0.396,0.374,0.271,0.228,0.322,0.1,0.084,0.011,0.036,-0.013,-0.138,-0.12,-0.056,-0.132,-0.224,-0.141,-0.203,-0.26,-0.239,-0.264,-0.178,-0.315,-0.514,-0.224,-0.245,-0.267,-0.203,-0.199,-0.181,-0.19,-0.279,-0.224,0.112,-0.257,-0.193,-0.337,-0.279,0.216,-0.242,-0.248,-0.267,-0.233,-0.248,-0.3,-0.352,-0.276,-0.218,-0.203,-0.245,-0.239,-0.248,-0.233,-0.404,-0.212,-0.303,-0.239,-0.279,0.124,-0.26,-0.175,-0.74,-0.236,-0.224,-0.132,-0.245,-0.224,-0.108,-0.187,-0.203,-0.315,-0.23,-0.251,-0.184,-0.218,-0.276,0.127,-0.273,-0.251,-0.215
-0.032,-0.038,-0.169,-0.114,-0.102,0.032,0.237,-0.126,-0.035,-0.233,-0.099,-0.068,-0.004,-0.016,-0.059,0.078,0.066,0.295,0.402,0.82,1.25,1.644,2.01,2.596,3.148,3.807,4.244,4.894,5.031,5.892,6.527,7.351,7.296,7.613,7.595,7.979,8.062,8.287,8.321,8.202,8.089,7.998,7.83,7.708,7.537,7.521,7.219,7.009,6.78,6.496,6.496,5.718,5.73,5.709,5.089,4.659,4.107,3.917,3.588,3.31,2.944,2.526,2.3,1.967,1.787,1.525,1.326,1.32,1.253,1.113,0.942,0.908,0.893,0.661,0.505,0.341,0.454,0.469,0.234,0.264,0.231,0.017,0.06,0.112,0.118,0.136,0.023,-0.123,-0.035,-0.05,0.005,-0.065,-0.035,-0.044,-0.087,-0.083,0.011,-0.203,-0.047,-0.184,0.292,-0.074,-0.044,-0.309,-0.05,-0.062,0.005,-0.148,-0.154,-0.087,-0.093,0.151,-0.199,-0.09,-0.141,-0.093,-0.044,-0.105,-0.074,0.008,-0.157,-0.05,-0.221,-0.047,-0.077,-0.193,0.274,-0.093,0.014,-0.053,-0.056,-0.029,-0.169,-0.065,-0.169,-0.053,-0.071,-0.01,-0.083,-0.12,-0.114,0.423,-0.16,-0.151,-0.508,-0.166,-0.175,0.252,-0.108,-0.05,-0.285
-0.209,-0.038,-0.187,-0.12,-0.645,-0.141,-0.441,-0.035,-0.209,-0.224,-0.367,-0.169,-0.193,-0.218,0.148,-0.145,-0.27,-0.172,-0.016,-0.044,0.158,0.264,0.512,0.997,1.403,1.888,2.767,3.264,4.073,5.126,5.59,6.167,6.615,7.393,7.875,8.403,8.489,8.699,9.032,8.928,8.968,8.837,8.806,8.571,8.468,8.065,7.915,7.702,7.369,7.1,6.777,6.06,6.084,5.886,5.825,5.077,4.641,3.997,3.951,3.609,3.386,2.987,2.657,2.446,2.111,1.86,1.479,1.442,1.336,1.021,0.728,0.655,0.509,0.42,0.267,0.06,-0.761,-0.083,-0.178,0.225,-0.27,-0.245,-0.572,-0.376,-0.334,-0.337,-0.346,-0.459,-0.398,-0.514,-0.477,-0.538,-0.483,-0.441,-0.477,-0.52,-0.495,-0.395,-0.361,0.194,-0.441,-0.834,-0.38,-0.37,0.06,-0.315,-0.282,-0.807,-0.27,-0.303,-0.245,-0.233,-0.294,-0.193,-0.27,-0.245,-0.343,-0.157,-0.248,-0.193,-0.322,-0.215,-0.285,-0.19,-0.19,-0.196,-0.578,-0.233,-0.233,0.173,0.347,-0.096,-0.404,-0.221,-0.224,-0.071,-0.074,-0.108,-0.392,-0.166,-0.132,-0.227,-0.114,-0.154,-0.166,-0.117,-0.114,-0.26,-0.141,-0.172,-0.227
-0.102,-0.053,-0.141,-0.068,-0.019,0.066,-0.367,-0.099,-0.093,-0.077,0.014,0.017,0.005,-0.12,0.005,0.005,0.103,0.213,0.335,0.557,0.82,1.137,1.696,2.251,2.675,3.551,4.161,5.098,5.407,6.475,7.024,7.412,7.985,8.355,8.84,9.069,9.371,9.325,9.401,9.374,9.362,9.255,9.148,8.272,8.709,8.483,8.498,7.964,7.714,7.189,7.158,6.85,6.521,6.188,5.901,5.581,5.101,4.854,4.921,4.116,3.743,3.484,3.24,2.907,2.681,2.63,2.26,1.992,2.08,1.546,1.4,1.094,1.033,1.336,0.875,0.6,0.518,0.505,0.341,0.301,0.164,0.155,0.216,0.09,-0.026,-0.05,-0.059,0.008,-0.447,-0.114,-0.373,-0.157,-0.12,-0.047,-0.129,-0.203,-0.16,-0.169,-0.196,-0.126,-0.132,-0.145,-0.264,-0.404,-0.105,-0.09,-0.16,-0.175,-0.199,-0.126,-0.26,-0.019,-0.312,-0.141,-0.145,0.325,-0.175,-0.154,-0.309,-0.163,-0.187,-0.083,-0.19,-0.196,-0.108,0.313,-0.172,-0.27,-0.141,-0.196,-0.12,-0.172,-0.166,-0.193,0.097,-0.239,-0.135,-0.215,-0.145,-0.105,-0.602,-0.187,-0.193,-0.068,-0.093,-0.209,-0.074,-0.331,-0.117,-0.19,-0.05
